iter: 1, content_loss: 1042742444032.0000, style_loss: 333953335296.0000, loss: 1376695746560.0000
iter: 2, content_loss: 905352708096.0000, style_loss: 297428942848.0000, loss: 1202781683712.0000
iter: 3, content_loss: 857455788032.0000, style_loss: 286171267072.0000, loss: 1143627055104.0000
iter: 4, content_loss: 825308479488.0000, style_loss: 278304653312.0000, loss: 1103613132800.0000
iter: 5, content_loss: 791426760704.0000, style_loss: 274665226240.0000, loss: 1066092003328.0000
iter: 6, content_loss: 762991738880.0000, style_loss: 265501261824.0000, loss: 1028493017088.0000
iter: 7, content_loss: 737027883008.0000, style_loss: 258352955392.0000, loss: 995380822016.0000
iter: 8, content_loss: 724907982848.0000, style_loss: 247209115648.0000, loss: 972117114880.0000
iter: 9, content_loss: 699023949824.0000, style_loss: 240397172736.0000, loss: 939421138944.0000
iter: 10, content_loss: 677090361344.0000, style_loss: 231709081600.0000, loss: 908799442944.0000
iter: 11, content_loss: 663425449984.0000, style_loss: 221989781504.0000, loss: 885415215104.0000
iter: 12, content_loss: 645739380736.0000, style_loss: 214595715072.0000, loss: 860335112192.0000
iter: 13, content_loss: 629428584448.0000, style_loss: 206503395328.0000, loss: 835931996160.0000
iter: 14, content_loss: 618869817344.0000, style_loss: 198572457984.0000, loss: 817442258944.0000
iter: 15, content_loss: 602591068160.0000, style_loss: 192079364096.0000, loss: 794670399488.0000
iter: 16, content_loss: 589724254208.0000, style_loss: 186672594944.0000, loss: 776396865536.0000
iter: 17, content_loss: 578451210240.0000, style_loss: 181133426688.0000, loss: 759584653312.0000
iter: 18, content_loss: 564456062976.0000, style_loss: 176687677440.0000, loss: 741143740416.0000
iter: 19, content_loss: 550914424832.0000, style_loss: 171437342720.0000, loss: 722351751168.0000
iter: 20, content_loss: 540902653952.0000, style_loss: 167001866240.0000, loss: 707904536576.0000
iter: 21, content_loss: 529933303808.0000, style_loss: 164013195264.0000, loss: 693946482688.0000
iter: 22, content_loss: 520135475200.0000, style_loss: 158972280832.0000, loss: 679107756032.0000
iter: 23, content_loss: 509166256128.0000, style_loss: 156125233152.0000, loss: 665291456512.0000
iter: 24, content_loss: 503382147072.0000, style_loss: 152811438080.0000, loss: 656193617920.0000
iter: 25, content_loss: 495994535936.0000, style_loss: 151794696192.0000, loss: 647789215744.0000
iter: 26, content_loss: 486899286016.0000, style_loss: 147369787392.0000, loss: 634269073408.0000
iter: 27, content_loss: 473993019392.0000, style_loss: 142937899008.0000, loss: 616930934784.0000
iter: 28, content_loss: 468347813888.0000, style_loss: 141336920064.0000, loss: 609684750336.0000
iter: 29, content_loss: 462832631808.0000, style_loss: 139048058880.0000, loss: 601880657920.0000
iter: 30, content_loss: 451559620608.0000, style_loss: 135509778432.0000, loss: 587069390848.0000
iter: 31, content_loss: 444953722880.0000, style_loss: 133017231360.0000, loss: 577970962432.0000
iter: 32, content_loss: 440535285760.0000, style_loss: 131098656768.0000, loss: 571633958912.0000
iter: 33, content_loss: 431570026496.0000, style_loss: 127954141184.0000, loss: 559524151296.0000
iter: 34, content_loss: 424845443072.0000, style_loss: 125978312704.0000, loss: 550823788544.0000
iter: 35, content_loss: 420136222720.0000, style_loss: 124450988032.0000, loss: 544587218944.0000
iter: 36, content_loss: 412993748992.0000, style_loss: 122287661056.0000, loss: 535281401856.0000
iter: 37, content_loss: 406877208576.0000, style_loss: 120221769728.0000, loss: 527098970112.0000
iter: 38, content_loss: 404068696064.0000, style_loss: 119813480448.0000, loss: 523882168320.0000
iter: 39, content_loss: 407624482816.0000, style_loss: 120386027520.0000, loss: 528010510336.0000
iter: 40, content_loss: 404478525440.0000, style_loss: 120799879168.0000, loss: 525278412800.0000
iter: 41, content_loss: 389069078528.0000, style_loss: 114260852736.0000, loss: 503329914880.0000
iter: 42, content_loss: 386525921280.0000, style_loss: 112976076800.0000, loss: 499501989888.0000
iter: 43, content_loss: 384124321792.0000, style_loss: 112731332608.0000, loss: 496855646208.0000
iter: 44, content_loss: 373764751360.0000, style_loss: 108747038720.0000, loss: 482511781888.0000
iter: 45, content_loss: 373318942720.0000, style_loss: 108421439488.0000, loss: 481740390400.0000
iter: 46, content_loss: 368439459840.0000, style_loss: 106871717888.0000, loss: 475311177728.0000
iter: 47, content_loss: 360322400256.0000, style_loss: 103745691648.0000, loss: 464068083712.0000
iter: 48, content_loss: 360913633280.0000, style_loss: 103510220800.0000, loss: 464423845888.0000
iter: 49, content_loss: 353929920512.0000, style_loss: 101242839040.0000, loss: 455172751360.0000
iter: 50, content_loss: 349341515776.0000, style_loss: 99701399552.0000, loss: 449042907136.0000
iter: 51, content_loss: 347947073536.0000, style_loss: 98718466048.0000, loss: 446665523200.0000
iter: 52, content_loss: 340994686976.0000, style_loss: 96717340672.0000, loss: 437712027648.0000
iter: 53, content_loss: 338139774976.0000, style_loss: 96246956032.0000, loss: 434386731008.0000
iter: 54, content_loss: 334750613504.0000, style_loss: 94467629056.0000, loss: 429218234368.0000
iter: 55, content_loss: 330109616128.0000, style_loss: 92599566336.0000, loss: 422709166080.0000
iter: 56, content_loss: 327463632896.0000, style_loss: 92218408960.0000, loss: 419682058240.0000
iter: 57, content_loss: 323388604416.0000, style_loss: 90571300864.0000, loss: 413959913472.0000
iter: 58, content_loss: 319538495488.0000, style_loss: 88775172096.0000, loss: 408313659392.0000
iter: 59, content_loss: 316421537792.0000, style_loss: 88212119552.0000, loss: 404633649152.0000
iter: 60, content_loss: 312070701056.0000, style_loss: 85961662464.0000, loss: 398032371712.0000
