Pusgiwa Starry

iter: 78, loss: 49573.828125, content loss: 37466936.000000, style_loss: 2450034.500000
iter: 79, loss: 48836.402344, content loss: 36801084.000000, style_loss: 2424441.750000
iter: 80, loss: 48203.101562, content loss: 36265416.000000, style_loss: 2398846.250000
iter: 81, loss: 47546.679688, content loss: 35742528.000000, style_loss: 2369082.500000
iter: 82, loss: 46846.484375, content loss: 35148664.000000, style_loss: 2340944.500000
iter: 83, loss: 46167.480469, content loss: 34602080.000000, style_loss: 2310727.000000
iter: 84, loss: 45584.265625, content loss: 34111072.000000, style_loss: 2286926.000000
iter: 85, loss: 45045.347656, content loss: 33585120.000000, style_loss: 2272156.500000
iter: 86, loss: 44473.011719, content loss: 33259564.000000, style_loss: 2233170.000000
iter: 87, loss: 43932.921875, content loss: 32792680.000000, style_loss: 2212347.000000
iter: 88, loss: 43344.515625, content loss: 32322074.000000, style_loss: 2185857.000000
iter: 89, loss: 42851.195312, content loss: 31829634.000000, style_loss: 2173436.250000
iter: 90, loss: 42354.464844, content loss: 31499092.000000, style_loss: 2144398.750000
iter: 91, loss: 41817.875000, content loss: 31060112.000000, style_loss: 2121223.000000
iter: 92, loss: 41273.101562, content loss: 30646222.000000, style_loss: 2094515.750000
iter: 93, loss: 40750.039062, content loss: 30206538.000000, style_loss: 2073101.000000
iter: 94, loss: 40225.335938, content loss: 29849314.000000, style_loss: 2043235.375000
iter: 95, loss: 39686.500000, content loss: 29421086.000000, style_loss: 2018704.000000
iter: 96, loss: 39214.273438, content loss: 29081906.000000, style_loss: 1993593.750000
iter: 97, loss: 38790.378906, content loss: 28693812.000000, style_loss: 1979416.000000
iter: 98, loss: 38343.109375, content loss: 28433580.000000, style_loss: 1949530.750000
iter: 99, loss: 37942.257812, content loss: 28101674.000000, style_loss: 1932615.000000
iter: 100, loss: 37479.589844, content loss: 27829628.000000, style_loss: 1901986.000000
iter: 101, loss: 37107.230469, content loss: 27402642.000000, style_loss: 1898139.625000
iter: 102, loss: 36726.250000, content loss: 27182876.000000, style_loss: 1872493.375000
iter: 103, loss: 36325.984375, content loss: 26834980.000000, style_loss: 1857249.750000
iter: 104, loss: 35914.742188, content loss: 26615342.000000, style_loss: 1827808.625000
iter: 105, loss: 35529.644531, content loss: 26301566.000000, style_loss: 1811048.875000
iter: 106, loss: 35133.507812, content loss: 26008902.000000, style_loss: 1790798.000000
iter: 107, loss: 34701.000000, content loss: 25691300.000000, style_loss: 1768495.125000
iter: 108, loss: 34297.925781, content loss: 25424204.000000, style_loss: 1744820.375000
iter: 109, loss: 33919.906250, content loss: 25103650.000000, style_loss: 1729623.125000
iter: 110, loss: 33560.148438, content loss: 24889904.000000, style_loss: 1706028.125000
iter: 111, loss: 33224.812500, content loss: 24562188.000000, style_loss: 1696882.750000
iter: 112, loss: 32894.152344, content loss: 24488908.000000, style_loss: 1662878.250000
iter: 113, loss: 32552.373047, content loss: 24146066.000000, style_loss: 1654440.125000
iter: 114, loss: 32215.310547, content loss: 23920070.000000, style_loss: 1634906.875000
iter: 115, loss: 31888.683594, content loss: 23648760.000000, style_loss: 1621209.250000
iter: 116, loss: 31558.644531, content loss: 23503026.000000, style_loss: 1594528.125000
iter: 117, loss: 31233.605469, content loss: 23273298.000000, style_loss: 1576870.625000
iter: 118, loss: 30937.496094, content loss: 23018784.000000, style_loss: 1565308.500000
iter: 119, loss: 30580.339844, content loss: 22814734.000000, style_loss: 1541069.000000
iter: 120, loss: 30255.937500, content loss: 22636506.000000, style_loss: 1518341.375000
iter: 121, loss: 29958.335938, content loss: 22386036.000000, style_loss: 1506188.375000
iter: 122, loss: 29662.623047, content loss: 22178640.000000, style_loss: 1489963.750000
iter: 123, loss: 29401.611328, content loss: 22024512.000000, style_loss: 1472750.125000
iter: 124, loss: 29107.482422, content loss: 21788544.000000, style_loss: 1459581.000000
iter: 125, loss: 28810.191406, content loss: 21712046.000000, style_loss: 1430069.250000
iter: 126, loss: 28578.847656, content loss: 21428844.000000, style_loss: 1429471.625000
iter: 127, loss: 28329.652344, content loss: 21378672.000000, style_loss: 1403339.375000
iter: 128, loss: 28047.804688, content loss: 21059166.000000, style_loss: 1400059.000000
iter: 129, loss: 27843.476562, content loss: 20912686.000000, style_loss: 1389165.875000
iter: 130, loss: 27555.669922, content loss: 20752220.000000, style_loss: 1369236.750000
iter: 131, loss: 27286.660156, content loss: 20648714.000000, style_loss: 1345961.250000
iter: 132, loss: 27007.171875, content loss: 20445496.000000, style_loss: 1331347.000000
iter: 133, loss: 26784.505859, content loss: 20213726.000000, style_loss: 1326690.625000
iter: 134, loss: 26507.308594, content loss: 20106510.000000, style_loss: 1302762.500000
iter: 135, loss: 26241.500000, content loss: 19868716.000000, style_loss: 1293315.875000
iter: 136, loss: 25989.875000, content loss: 19685340.000000, style_loss: 1280200.500000
iter: 137, loss: 25722.376953, content loss: 19508582.000000, style_loss: 1264438.875000
iter: 138, loss: 25505.250000, content loss: 19385640.000000, style_loss: 1249592.375000
iter: 139, loss: 25245.035156, content loss: 19215734.000000, style_loss: 1234056.000000
iter: 140, loss: 25003.511719, content loss: 19052046.000000, style_loss: 1220234.500000
iter: 141, loss: 24771.128906, content loss: 18895274.000000, style_loss: 1206863.625000
iter: 142, loss: 24544.546875, content loss: 18739304.000000, style_loss: 1194137.875000
iter: 143, loss: 24318.968750, content loss: 18603794.000000, style_loss: 1179491.750000
iter: 144, loss: 24112.417969, content loss: 18463770.000000, style_loss: 1167675.375000
